Drug Name,Current Indication,Possible Repurposed Use,Repurposing Score (%),Molecular Formula,Mechanism of Action,Side Effects,Approval Year,Generic Name,Brand Name,Side Effect Prediction (AI/ML),Pharmacokinetics (ADME),Clinical Trial Data,Preclinical Studies,Pathway Analysis,Dosage Forms,Recommended Dosage,Marketed By,Half-Life (t½) (hours),AI Predicted Repurposing Potential,AI-Based Drug-Drug Interaction Risk,Bioavailability,Absorption Rate,Metabolism Type,AI-Powered Personalized Medicine Suitability
Aspirin,Blood Thinner,Anti-Aging,31.17,C17H19N3O3S,HMG-CoA Reductase Inhibitor,"Nausea, Dizziness",1987,Ibuprofen,Advil,Low Risk,Rapid Absorption,Phase 4,Animal Testing,MAPK Pathway,Syrup,As prescribed,Novartis,24,High,Low Risk,High (>80%),Moderate,Enzyme-Specific,Suitable
Metformin,Inflammation,Weight Loss,94.47,C17H19N3O3S,NSAID,"Nausea, Dizziness",1996,Metformin Hydrochloride,Prilosec,High Risk,Liver Metabolism,Phase 3,Animal Testing,Dopaminergic Pathway,Tablet,500mg twice a day,Novartis,6,Moderate,Low Risk,Low (<50%),Moderate,Gut,Suitable
Ibuprofen,Diabetes,Weight Loss,88.1,C4H11N5,HMG-CoA Reductase Inhibitor,"Nausea, Dizziness",1987,Omeprazole,Glucophage,High Risk,Renal Excretion,Ongoing,Animal Testing,PI3K-AKT Pathway,Capsule,As prescribed,Novartis,6,Moderate,High Risk,Moderate (50-80%),Moderate,Enzyme-Specific,Partially Suitable
Atorvastatin,Gastric Ulcer,Liver Disease,77.84,C17H19N3O3S,Proton Pump Inhibitor,"Nausea, Dizziness",1965,Omeprazole,Prilosec,Low Risk,Slow Metabolism,Phase 2,Animal Testing,Dopaminergic Pathway,Topical Gel,500mg twice a day,Pfizer,24,Moderate,High Risk,High (>80%),Fast,Enzyme-Specific,Suitable
Omeprazole,Inflammation,Parkinson's,69.48,C13H18O2,Proton Pump Inhibitor,Acid Reflux,1971,Atorvastatin Calcium,Advil,Moderate Risk,Slow Metabolism,Phase 4,No Preclinical Data,Immune Response Pathway,Injection,500mg twice a day,Roche,24,High,Low Risk,Moderate (50-80%),Slow,Enzyme-Specific,Not Suitable
Losartan,Thyroid Hormone Replacement,Anti-Aging,69.38,C17H19N3O3S,COX Inhibitor,Acid Reflux,1987,Atorvastatin Calcium,Prilosec,Low Risk,Rapid Absorption,Phase 2,Toxicology Report,Dopaminergic Pathway,Topical Gel,10mg once daily,Pfizer,24,Moderate,Moderate Risk,Low (<50%),Fast,Enzyme-Specific,Suitable
Paracetamol,Diabetes,Weight Loss,82.41,C17H19N3O3S,HMG-CoA Reductase Inhibitor,Acid Reflux,1996,Ibuprofen,Prilosec,High Risk,Renal Excretion,Phase 3,No Preclinical Data,MAPK Pathway,Capsule,250mg every 8 hours,Novartis,12,Moderate,Moderate Risk,Moderate (50-80%),Fast,Enzyme-Specific,Suitable
Ranitidine,Inflammation,Anti-Aging,41.28,C33H35FN2O5,Proton Pump Inhibitor,Gastrointestinal Issues,1994,Metformin Hydrochloride,Lipitor,Low Risk,Liver Metabolism,Phase 1,In Vitro Studies,MAPK Pathway,Injection,10mg once daily,Novartis,2,High,Moderate Risk,Low (<50%),Slow,Liver,Partially Suitable
Simvastatin,Thyroid Hormone Replacement,Migraine Treatment,87.84,C17H19N3O3S,NSAID,"Headache, Rash",1994,Atorvastatin Calcium,Aspirin,Low Risk,Liver Metabolism,Phase 4,Animal Testing,Serotonin Pathway,Topical Gel,10mg once daily,AstraZeneca,24,Moderate,Moderate Risk,Low (<50%),Slow,Enzyme-Specific,Partially Suitable
Levothyroxine,Fever,Antiviral,50.88,C13H18O2,COX Inhibitor,Gastrointestinal Issues,1987,Metformin Hydrochloride,Aspirin,Moderate Risk,Renal Excretion,Completed,Animal Testing,PI3K-AKT Pathway,Topical Gel,10mg once daily,Roche,2,High,Moderate Risk,Low (<50%),Fast,Enzyme-Specific,Not Suitable
Aspirin,Fever,Parkinson's,69.39,C9H8O4,Proton Pump Inhibitor,Acid Reflux,1994,Omeprazole,Prilosec,High Risk,Renal Excretion,Phase 2,No Preclinical Data,MAPK Pathway,Injection,As prescribed,Roche,48,Moderate,High Risk,Moderate (50-80%),Slow,Enzyme-Specific,Not Suitable
Metformin,Acid Reflux,Parkinson's,72.08,C9H8O4,AMPK Activator,Gastrointestinal Issues,1994,Atorvastatin Calcium,Prilosec,Moderate Risk,Rapid Absorption,Ongoing,In Vitro Studies,MAPK Pathway,Topical Gel,10mg once daily,Pfizer,12,Moderate,Moderate Risk,High (>80%),Slow,Liver,Partially Suitable
Ibuprofen,Hypertension,Cardiovascular Disease,82.79,C9H8O4,HMG-CoA Reductase Inhibitor,Acid Reflux,1971,Omeprazole,Prilosec,Low Risk,Renal Excretion,Phase 3,In Vitro Studies,Serotonin Pathway,Topical Gel,As prescribed,Pfizer,12,Low,Low Risk,Moderate (50-80%),Slow,Renal,Suitable
Atorvastatin,Cholesterol Control,Cancer Therapy,88.19,C9H8O4,AMPK Activator,"Nausea, Dizziness",1965,Ibuprofen,Lipitor,Moderate Risk,Renal Excretion,Phase 4,Toxicology Report,Dopaminergic Pathway,Topical Gel,500mg twice a day,Pfizer,2,Moderate,Low Risk,Moderate (50-80%),Slow,Renal,Suitable
Omeprazole,Gastric Ulcer,Anti-Aging,43.42,C33H35FN2O5,Proton Pump Inhibitor,Gastrointestinal Issues,1996,Atorvastatin Calcium,Glucophage,Low Risk,Rapid Absorption,Ongoing,No Preclinical Data,Serotonin Pathway,Injection,250mg every 8 hours,Novartis,48,High,Moderate Risk,Moderate (50-80%),Fast,Gut,Partially Suitable
Losartan,Inflammation,Alzheimer's,92.75,C33H35FN2O5,NSAID,"Nausea, Dizziness",1994,Metformin Hydrochloride,Glucophage,Moderate Risk,Rapid Absorption,Phase 1,Animal Testing,PI3K-AKT Pathway,Syrup,50mg daily,AstraZeneca,12,Moderate,Low Risk,Moderate (50-80%),Moderate,Liver,Partially Suitable
Paracetamol,Gastric Ulcer,Migraine Treatment,88.91,C9H8O4,Proton Pump Inhibitor,Acid Reflux,1994,Metformin Hydrochloride,Glucophage,Moderate Risk,Slow Metabolism,Phase 3,No Preclinical Data,Immune Response Pathway,Topical Gel,10mg once daily,AstraZeneca,24,Low,Moderate Risk,High (>80%),Slow,Enzyme-Specific,Not Suitable
Ranitidine,Blood Thinner,Parkinson's,62.7,C9H8O4,HMG-CoA Reductase Inhibitor,"Nausea, Dizziness",1994,Ibuprofen,Aspirin,High Risk,High Bioavailability,Phase 4,Animal Testing,PI3K-AKT Pathway,Syrup,500mg twice a day,Roche,6,High,High Risk,Low (<50%),Moderate,Liver,Partially Suitable
Simvastatin,Fever,Migraine Treatment,67.54,C4H11N5,AMPK Activator,Gastrointestinal Issues,1971,Metformin Hydrochloride,Glucophage,Low Risk,High Bioavailability,Phase 2,In Vitro Studies,Serotonin Pathway,Syrup,10mg once daily,Pfizer,2,High,Low Risk,Low (<50%),Moderate,Gut,Not Suitable
Levothyroxine,Diabetes,Cancer Therapy,56.01,C17H19N3O3S,COX Inhibitor,"Headache, Rash",1971,Omeprazole,Aspirin,Moderate Risk,High Bioavailability,Phase 3,No Preclinical Data,PI3K-AKT Pathway,Injection,As prescribed,Merck,2,Low,High Risk,Moderate (50-80%),Fast,Renal,Not Suitable
Aspirin,Fever,Anti-Aging,47.27,C33H35FN2O5,COX Inhibitor,Muscle Pain,1971,Metformin Hydrochloride,Glucophage,Moderate Risk,Renal Excretion,Phase 2,Toxicology Report,PI3K-AKT Pathway,Capsule,250mg every 8 hours,Merck,2,High,Low Risk,High (>80%),Moderate,Enzyme-Specific,Partially Suitable
Metformin,Fever,Parkinson's,91.93,C9H8O4,Proton Pump Inhibitor,Gastrointestinal Issues,1987,Metformin Hydrochloride,Glucophage,High Risk,Liver Metabolism,Phase 3,In Vitro Studies,PI3K-AKT Pathway,Syrup,500mg twice a day,Merck,2,Low,High Risk,Moderate (50-80%),Fast,Renal,Not Suitable
Ibuprofen,Acid Reflux,Cancer Therapy,40.24,C4H11N5,Proton Pump Inhibitor,"Headache, Rash",1965,Atorvastatin Calcium,Advil,High Risk,High Bioavailability,Ongoing,Animal Testing,Serotonin Pathway,Injection,50mg daily,Merck,12,High,Moderate Risk,Low (<50%),Slow,Renal,Partially Suitable
Atorvastatin,Pain Relief,Alzheimer's,42.76,C17H19N3O3S,COX Inhibitor,"Nausea, Dizziness",1996,Metformin Hydrochloride,Aspirin,Low Risk,Slow Metabolism,Phase 2,Toxicology Report,MAPK Pathway,Injection,50mg daily,Roche,6,High,Moderate Risk,Moderate (50-80%),Moderate,Renal,Not Suitable
Omeprazole,Diabetes,Antiviral,79.48,C13H18O2,Proton Pump Inhibitor,"Headache, Rash",1994,Acetylsalicylic Acid,Prilosec,Low Risk,Renal Excretion,Ongoing,No Preclinical Data,Immune Response Pathway,Capsule,500mg twice a day,Pfizer,12,Low,High Risk,Moderate (50-80%),Fast,Renal,Suitable
Losartan,Blood Thinner,Weight Loss,77.16,C9H8O4,AMPK Activator,Muscle Pain,1994,Atorvastatin Calcium,Aspirin,Moderate Risk,High Bioavailability,Phase 2,No Preclinical Data,Immune Response Pathway,Topical Gel,50mg daily,Roche,48,High,Low Risk,Low (<50%),Fast,Liver,Partially Suitable
Paracetamol,Thyroid Hormone Replacement,Antiviral,76.58,C13H18O2,COX Inhibitor,Muscle Pain,1987,Acetylsalicylic Acid,Prilosec,Low Risk,High Bioavailability,Completed,In Vitro Studies,MAPK Pathway,Topical Gel,50mg daily,AstraZeneca,12,Moderate,High Risk,Moderate (50-80%),Slow,Gut,Not Suitable
Ranitidine,Diabetes,Antiviral,56.38,C4H11N5,Proton Pump Inhibitor,"Headache, Rash",1971,Metformin Hydrochloride,Advil,Low Risk,High Bioavailability,Phase 3,In Vitro Studies,Immune Response Pathway,Topical Gel,500mg twice a day,Pfizer,12,High,Low Risk,Low (<50%),Slow,Gut,Suitable
Simvastatin,Hypertension,Migraine Treatment,59.76,C4H11N5,COX Inhibitor,Gastrointestinal Issues,1971,Ibuprofen,Glucophage,High Risk,High Bioavailability,Completed,No Preclinical Data,Dopaminergic Pathway,Tablet,As prescribed,Novartis,48,High,Moderate Risk,High (>80%),Moderate,Gut,Partially Suitable
Levothyroxine,Cholesterol Control,Parkinson's,93.56,C17H19N3O3S,Proton Pump Inhibitor,"Headache, Rash",1996,Omeprazole,Aspirin,High Risk,Slow Metabolism,Phase 1,Toxicology Report,Immune Response Pathway,Topical Gel,250mg every 8 hours,AstraZeneca,12,Moderate,Moderate Risk,High (>80%),Slow,Renal,Partially Suitable
Aspirin,Pain Relief,Alzheimer's,59.72,C4H11N5,NSAID,Acid Reflux,1987,Acetylsalicylic Acid,Advil,Moderate Risk,Slow Metabolism,Phase 1,In Vitro Studies,Immune Response Pathway,Tablet,500mg twice a day,Pfizer,48,Moderate,High Risk,Moderate (50-80%),Fast,Gut,Suitable
Metformin,Fever,Cardiovascular Disease,77.94,C9H8O4,COX Inhibitor,"Headache, Rash",1987,Ibuprofen,Prilosec,Moderate Risk,Renal Excretion,Phase 3,Toxicology Report,PI3K-AKT Pathway,Tablet,500mg twice a day,Pfizer,24,Moderate,Low Risk,Low (<50%),Moderate,Enzyme-Specific,Partially Suitable
Ibuprofen,Cholesterol Control,Antiviral,37.16,C4H11N5,AMPK Activator,Gastrointestinal Issues,1987,Metformin Hydrochloride,Lipitor,High Risk,Slow Metabolism,Phase 1,Toxicology Report,MAPK Pathway,Topical Gel,500mg twice a day,Novartis,2,Moderate,High Risk,Low (<50%),Moderate,Enzyme-Specific,Partially Suitable
Atorvastatin,Cholesterol Control,Liver Disease,59.86,C33H35FN2O5,COX Inhibitor,Gastrointestinal Issues,1994,Metformin Hydrochloride,Glucophage,High Risk,High Bioavailability,Completed,Animal Testing,Dopaminergic Pathway,Syrup,As prescribed,Roche,24,Moderate,Low Risk,High (>80%),Slow,Liver,Suitable
Omeprazole,Inflammation,Alzheimer's,44.89,C33H35FN2O5,Proton Pump Inhibitor,"Headache, Rash",1987,Atorvastatin Calcium,Aspirin,Low Risk,Slow Metabolism,Ongoing,Animal Testing,PI3K-AKT Pathway,Syrup,50mg daily,AstraZeneca,48,High,High Risk,Moderate (50-80%),Moderate,Gut,Not Suitable
Losartan,Cholesterol Control,Anti-Aging,36.02,C17H19N3O3S,COX Inhibitor,"Headache, Rash",1996,Metformin Hydrochloride,Lipitor,Low Risk,High Bioavailability,Phase 2,Animal Testing,MAPK Pathway,Injection,50mg daily,AstraZeneca,2,Moderate,Low Risk,Moderate (50-80%),Moderate,Gut,Suitable
Paracetamol,Blood Thinner,Parkinson's,38,C4H11N5,COX Inhibitor,Acid Reflux,1965,Acetylsalicylic Acid,Aspirin,Moderate Risk,Slow Metabolism,Phase 2,No Preclinical Data,MAPK Pathway,Tablet,As prescribed,AstraZeneca,2,High,Moderate Risk,Low (<50%),Fast,Gut,Partially Suitable
Ranitidine,Blood Thinner,Migraine Treatment,93.58,C13H18O2,NSAID,Muscle Pain,1994,Atorvastatin Calcium,Glucophage,Low Risk,Renal Excretion,Phase 2,Toxicology Report,Immune Response Pathway,Topical Gel,As prescribed,Merck,6,Low,High Risk,Low (<50%),Moderate,Renal,Partially Suitable
Simvastatin,Inflammation,Antiviral,84.51,C13H18O2,Proton Pump Inhibitor,"Nausea, Dizziness",1996,Ibuprofen,Aspirin,Moderate Risk,Rapid Absorption,Phase 2,Animal Testing,MAPK Pathway,Syrup,500mg twice a day,Novartis,2,Low,Moderate Risk,Low (<50%),Fast,Enzyme-Specific,Suitable
Levothyroxine,Inflammation,Antiviral,40.16,C33H35FN2O5,HMG-CoA Reductase Inhibitor,Acid Reflux,1987,Ibuprofen,Advil,Low Risk,High Bioavailability,Phase 4,In Vitro Studies,Dopaminergic Pathway,Injection,50mg daily,Novartis,2,Moderate,Moderate Risk,Low (<50%),Moderate,Enzyme-Specific,Suitable
Aspirin,Gastric Ulcer,Parkinson's,80.46,C17H19N3O3S,AMPK Activator,"Nausea, Dizziness",1965,Atorvastatin Calcium,Aspirin,High Risk,High Bioavailability,Phase 2,Toxicology Report,Immune Response Pathway,Capsule,As prescribed,Novartis,2,Low,High Risk,High (>80%),Slow,Liver,Suitable
Metformin,Acid Reflux,Cardiovascular Disease,31.35,C9H8O4,AMPK Activator,"Nausea, Dizziness",1965,Acetylsalicylic Acid,Aspirin,High Risk,High Bioavailability,Phase 3,Animal Testing,MAPK Pathway,Syrup,250mg every 8 hours,Merck,24,Moderate,Moderate Risk,High (>80%),Moderate,Enzyme-Specific,Not Suitable
Ibuprofen,Thyroid Hormone Replacement,Migraine Treatment,69.34,C17H19N3O3S,Proton Pump Inhibitor,"Nausea, Dizziness",1965,Atorvastatin Calcium,Prilosec,High Risk,High Bioavailability,Completed,Animal Testing,MAPK Pathway,Topical Gel,250mg every 8 hours,AstraZeneca,2,Moderate,Low Risk,Moderate (50-80%),Fast,Liver,Not Suitable
Atorvastatin,Hypertension,Autoimmune Disorders,40.32,C9H8O4,HMG-CoA Reductase Inhibitor,Gastrointestinal Issues,1987,Omeprazole,Advil,Low Risk,Slow Metabolism,Phase 3,Animal Testing,PI3K-AKT Pathway,Tablet,500mg twice a day,Novartis,24,Low,Low Risk,Low (<50%),Moderate,Gut,Not Suitable
Omeprazole,Diabetes,Cardiovascular Disease,70.93,C13H18O2,HMG-CoA Reductase Inhibitor,"Headache, Rash",1965,Acetylsalicylic Acid,Glucophage,Low Risk,Liver Metabolism,Ongoing,Animal Testing,Immune Response Pathway,Capsule,10mg once daily,Novartis,12,Low,Moderate Risk,High (>80%),Slow,Enzyme-Specific,Partially Suitable
Losartan,Cholesterol Control,Migraine Treatment,91.01,C13H18O2,Proton Pump Inhibitor,Acid Reflux,1996,Atorvastatin Calcium,Prilosec,High Risk,Renal Excretion,Phase 1,Animal Testing,PI3K-AKT Pathway,Capsule,50mg daily,Novartis,24,Moderate,Moderate Risk,Low (<50%),Slow,Renal,Suitable
Paracetamol,Hypertension,Parkinson's,77.02,C33H35FN2O5,AMPK Activator,"Nausea, Dizziness",1996,Omeprazole,Advil,Low Risk,High Bioavailability,Ongoing,Animal Testing,MAPK Pathway,Topical Gel,500mg twice a day,Roche,6,Moderate,Moderate Risk,Moderate (50-80%),Slow,Gut,Not Suitable
Ranitidine,Acid Reflux,Liver Disease,67.01,C9H8O4,Proton Pump Inhibitor,"Nausea, Dizziness",1994,Omeprazole,Advil,Low Risk,Slow Metabolism,Ongoing,Toxicology Report,PI3K-AKT Pathway,Capsule,250mg every 8 hours,Pfizer,48,Low,Moderate Risk,High (>80%),Slow,Liver,Suitable
Simvastatin,Cholesterol Control,Liver Disease,65.37,C33H35FN2O5,HMG-CoA Reductase Inhibitor,"Headache, Rash",1994,Acetylsalicylic Acid,Prilosec,High Risk,Rapid Absorption,Phase 4,In Vitro Studies,Serotonin Pathway,Syrup,500mg twice a day,Pfizer,48,Low,Moderate Risk,Moderate (50-80%),Slow,Enzyme-Specific,Suitable
Levothyroxine,Hypertension,Liver Disease,59.85,C33H35FN2O5,NSAID,"Nausea, Dizziness",1994,Acetylsalicylic Acid,Prilosec,Low Risk,Rapid Absorption,Phase 4,Toxicology Report,PI3K-AKT Pathway,Syrup,250mg every 8 hours,Merck,48,High,Moderate Risk,High (>80%),Slow,Enzyme-Specific,Partially Suitable
Aspirin,Hypertension,Cancer Therapy,85.37,C9H8O4,HMG-CoA Reductase Inhibitor,"Headache, Rash",1987,Metformin Hydrochloride,Aspirin,High Risk,Liver Metabolism,Phase 1,Animal Testing,Dopaminergic Pathway,Tablet,500mg twice a day,Roche,6,High,High Risk,High (>80%),Slow,Gut,Partially Suitable
Metformin,Fever,Cancer Therapy,79.75,C17H19N3O3S,Proton Pump Inhibitor,"Headache, Rash",1996,Atorvastatin Calcium,Advil,High Risk,Slow Metabolism,Phase 3,No Preclinical Data,Dopaminergic Pathway,Injection,50mg daily,Roche,48,Low,Low Risk,Low (<50%),Fast,Liver,Suitable
Ibuprofen,Inflammation,Parkinson's,71.94,C4H11N5,AMPK Activator,"Nausea, Dizziness",1996,Acetylsalicylic Acid,Prilosec,Moderate Risk,Slow Metabolism,Phase 1,No Preclinical Data,MAPK Pathway,Topical Gel,As prescribed,Roche,24,Moderate,Moderate Risk,Low (<50%),Fast,Enzyme-Specific,Not Suitable
Atorvastatin,Hypertension,Anti-Aging,64.58,C13H18O2,Proton Pump Inhibitor,Acid Reflux,1994,Atorvastatin Calcium,Glucophage,Moderate Risk,Renal Excretion,Phase 4,In Vitro Studies,MAPK Pathway,Tablet,As prescribed,Novartis,12,Low,Low Risk,Low (<50%),Moderate,Enzyme-Specific,Partially Suitable
Omeprazole,Blood Thinner,Antiviral,90.7,C17H19N3O3S,COX Inhibitor,"Headache, Rash",1971,Metformin Hydrochloride,Aspirin,High Risk,Rapid Absorption,Phase 1,In Vitro Studies,MAPK Pathway,Topical Gel,50mg daily,Merck,24,High,Low Risk,Moderate (50-80%),Moderate,Liver,Partially Suitable
Losartan,Blood Thinner,Cancer Therapy,37.98,C4H11N5,AMPK Activator,Muscle Pain,1987,Metformin Hydrochloride,Aspirin,High Risk,Renal Excretion,Phase 3,Toxicology Report,PI3K-AKT Pathway,Topical Gel,10mg once daily,Roche,6,Moderate,Low Risk,Moderate (50-80%),Fast,Enzyme-Specific,Partially Suitable
Paracetamol,Acid Reflux,Alzheimer's,46.96,C17H19N3O3S,Proton Pump Inhibitor,Muscle Pain,1987,Omeprazole,Advil,Moderate Risk,Slow Metabolism,Ongoing,In Vitro Studies,MAPK Pathway,Injection,10mg once daily,Pfizer,2,High,Moderate Risk,High (>80%),Slow,Gut,Partially Suitable
Ranitidine,Diabetes,Cardiovascular Disease,52.36,C13H18O2,AMPK Activator,Gastrointestinal Issues,1994,Acetylsalicylic Acid,Lipitor,High Risk,Slow Metabolism,Phase 3,Toxicology Report,Immune Response Pathway,Injection,250mg every 8 hours,Pfizer,12,Low,High Risk,Low (<50%),Slow,Renal,Not Suitable
Simvastatin,Hypertension,Anti-Aging,93.99,C4H11N5,COX Inhibitor,Gastrointestinal Issues,1965,Metformin Hydrochloride,Glucophage,Low Risk,Slow Metabolism,Completed,No Preclinical Data,PI3K-AKT Pathway,Injection,250mg every 8 hours,Pfizer,2,High,High Risk,Low (<50%),Slow,Enzyme-Specific,Partially Suitable
Levothyroxine,Thyroid Hormone Replacement,Liver Disease,90.43,C17H19N3O3S,HMG-CoA Reductase Inhibitor,Gastrointestinal Issues,1965,Ibuprofen,Lipitor,Low Risk,High Bioavailability,Phase 4,No Preclinical Data,Immune Response Pathway,Tablet,As prescribed,AstraZeneca,48,Moderate,Moderate Risk,Moderate (50-80%),Fast,Renal,Not Suitable
Aspirin,Gastric Ulcer,Anti-Aging,64.65,C13H18O2,Proton Pump Inhibitor,Gastrointestinal Issues,1971,Omeprazole,Aspirin,High Risk,Slow Metabolism,Completed,Toxicology Report,Serotonin Pathway,Capsule,500mg twice a day,Roche,24,Moderate,High Risk,High (>80%),Slow,Liver,Partially Suitable
Metformin,Thyroid Hormone Replacement,Autoimmune Disorders,77.41,C17H19N3O3S,HMG-CoA Reductase Inhibitor,Acid Reflux,1994,Metformin Hydrochloride,Lipitor,Low Risk,Rapid Absorption,Phase 4,In Vitro Studies,Dopaminergic Pathway,Injection,As prescribed,Novartis,48,High,High Risk,Moderate (50-80%),Slow,Gut,Suitable
Ibuprofen,Gastric Ulcer,Liver Disease,90.22,C9H8O4,HMG-CoA Reductase Inhibitor,Gastrointestinal Issues,1994,Atorvastatin Calcium,Lipitor,High Risk,Rapid Absorption,Phase 1,Toxicology Report,Dopaminergic Pathway,Topical Gel,As prescribed,Merck,2,High,Moderate Risk,High (>80%),Moderate,Renal,Partially Suitable
Atorvastatin,Fever,Autoimmune Disorders,43.77,C13H18O2,NSAID,Muscle Pain,1996,Omeprazole,Advil,High Risk,Slow Metabolism,Phase 3,No Preclinical Data,Serotonin Pathway,Capsule,500mg twice a day,Roche,6,Moderate,Moderate Risk,Moderate (50-80%),Slow,Liver,Partially Suitable
Omeprazole,Blood Thinner,Liver Disease,38.04,C9H8O4,AMPK Activator,Acid Reflux,1996,Atorvastatin Calcium,Prilosec,Moderate Risk,High Bioavailability,Ongoing,Toxicology Report,Immune Response Pathway,Topical Gel,500mg twice a day,Roche,6,Low,Moderate Risk,Moderate (50-80%),Slow,Gut,Suitable
Losartan,Inflammation,Weight Loss,80.55,C17H19N3O3S,HMG-CoA Reductase Inhibitor,Acid Reflux,1971,Metformin Hydrochloride,Prilosec,Low Risk,Slow Metabolism,Phase 3,Animal Testing,Immune Response Pathway,Injection,500mg twice a day,Pfizer,2,Low,Moderate Risk,Moderate (50-80%),Slow,Gut,Partially Suitable
Paracetamol,Pain Relief,Migraine Treatment,47.74,C33H35FN2O5,NSAID,Acid Reflux,1994,Ibuprofen,Glucophage,High Risk,Renal Excretion,Phase 2,Animal Testing,Dopaminergic Pathway,Tablet,10mg once daily,Roche,48,High,Low Risk,High (>80%),Fast,Enzyme-Specific,Not Suitable
Ranitidine,Diabetes,Anti-Aging,83.74,C17H19N3O3S,NSAID,Acid Reflux,1994,Acetylsalicylic Acid,Aspirin,Moderate Risk,Rapid Absorption,Phase 3,Toxicology Report,Dopaminergic Pathway,Syrup,As prescribed,Roche,24,Low,Low Risk,Low (<50%),Slow,Liver,Suitable
Simvastatin,Blood Thinner,Parkinson's,93.39,C33H35FN2O5,Proton Pump Inhibitor,"Nausea, Dizziness",1987,Omeprazole,Prilosec,Moderate Risk,Rapid Absorption,Phase 3,Toxicology Report,Serotonin Pathway,Syrup,10mg once daily,Novartis,12,High,Moderate Risk,Low (<50%),Slow,Liver,Partially Suitable
